trace,prefetcher,ipc,speedup_vs_no_pref,l2_loads,l2_load_miss,l2_load_miss_rate,miss_reduction_vs_no_pref,pf_requested,pf_dropped,pf_issued,nodup_issued,pf_filled,pf_useful,pf_useless,pf_late,pq_merged_duplicate_proxy,accuracy,nodup_accuracy,selected_accuracy,coverage_vs_no_pref_l2_miss,useful_per_l2_miss_self,timeliness,late_per_issued,drop_rate,useless_per_issued,nodup_mode,log_missing,log
602.gcc_s-734B,no_pref,0.368,1.0,404219,203131,0.502527095460629,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,formal_NN_training/results/LSTM/behavior_audit/logs/602.gcc_s-734B.no_pref.log
602.gcc_s-734B,spp,0.42836,1.1640217391304348,404219,70873,0.1753331733540482,0.6510970752863915,4491857,0,4491857,4485769,266257,265086,1162,387,6088,0.05901479054208538,0.0590948842885133,0.0590948842885133,1.3050002215319179,3.740296022462715,0.9985422246330136,8.615590389453626e-05,0.0,0.00025869033675827166,1,0,formal_NN_training/results/LSTM/behavior_audit/logs/602.gcc_s-734B.spp.log
602.gcc_s-734B,ipcp,0.36796,0.9998913043478261,404219,203131,0.502527095460629,0.0,188,0,188,188,120,46,74,4,0,0.24468085106382978,0.24468085106382978,0.24468085106382978,0.00022645484933368122,0.00022645484933368122,0.92,0.02127659574468085,0.0,0.39361702127659576,1,0,formal_NN_training/results/LSTM/behavior_audit/logs/602.gcc_s-734B.ipcp.log
602.gcc_s-734B,spp_ipcp,0.42837,1.1640489130434781,404219,70801,0.17515505208810075,0.6514515263549139,4485473,0,4485473,4479286,266684,265422,1253,393,6187,0.0591736924957524,0.05925542597637213,0.05925542597637213,1.3066543265183552,3.748845355291592,0.9985215281304667,8.761617782561617e-05,0.0,0.0002793462361717482,1,0,formal_NN_training/results/LSTM/behavior_audit/logs/602.gcc_s-734B.spp_ipcp.log
619.lbm_s-4268B,no_pref,0.322,1.0,295037,294639,0.9986510166521487,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,formal_NN_training/results/LSTM/behavior_audit/logs/619.lbm_s-4268B.no_pref.log
619.lbm_s-4268B,spp,0.37933,1.1780434782608695,295024,225832,0.765469927870275,0.23352984499675875,3804639,0,3804639,2314384,190672,190662,10,65229,1490255,0.05011303306305802,0.08238131615151159,0.08238131615151159,0.6471037439035565,0.8442647631867938,0.7450906831424318,0.01714459637300674,0.0,2.62837026062131e-06,1,0,formal_NN_training/results/LSTM/behavior_audit/logs/619.lbm_s-4268B.spp.log
619.lbm_s-4268B,ipcp,0.322,1.0,295039,294643,0.9986578045614308,-1.3575935297092374e-05,81,0,81,81,10,7,3,1,0,0.08641975308641975,0.08641975308641975,0.08641975308641975,2.3757886769911655e-05,2.3757564238756734e-05,0.875,0.012345679012345678,0.0,0.037037037037037035,1,0,formal_NN_training/results/LSTM/behavior_audit/logs/619.lbm_s-4268B.ipcp.log
619.lbm_s-4268B,spp_ipcp,0.37943,1.1783540372670807,295024,225812,0.7654021367753132,0.23359772467324422,3803521,0,3803521,2310708,190701,190688,13,65152,1492813,0.050134598967640776,0.08252362479378615,0.08252362479378615,0.6471919874829877,0.844454679113599,0.7453408380237648,0.017129391424419636,0.0,3.417885690653476e-06,1,0,formal_NN_training/results/LSTM/behavior_audit/logs/619.lbm_s-4268B.spp_ipcp.log
605.mcf_s-994B,no_pref,0.18318,1.0,985276,740223,0.7512849191495581,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,formal_NN_training/results/LSTM/behavior_audit/logs/605.mcf_s-994B.no_pref.log
605.mcf_s-994B,spp,0.18874,1.0303526585871818,985273,735406,0.7463982063854383,0.006507498416017876,710459,0,710459,705508,19585,14384,5178,1257,4951,0.020246066275464172,0.02038814584668069,0.02038814584668069,0.01943198198380758,0.019559263862410695,0.9196342944824499,0.0017692787338889366,0.0,0.007288246049384975,1,0,formal_NN_training/results/LSTM/behavior_audit/logs/605.mcf_s-994B.spp.log
605.mcf_s-994B,ipcp,0.18318,1.0,985276,740223,0.7512849191495581,0.0,88,0,88,88,42,26,16,16,0,0.29545454545454547,0.29545454545454547,0.29545454545454547,3.5124550304435285e-05,3.5124550304435285e-05,0.6190476190476191,0.18181818181818182,0.0,0.18181818181818182,1,0,formal_NN_training/results/LSTM/behavior_audit/logs/605.mcf_s-994B.ipcp.log
605.mcf_s-994B,spp_ipcp,0.18874,1.0303526585871818,985273,735406,0.7463982063854383,0.006507498416017876,710547,0,710547,705572,19627,14410,5194,1273,4975,0.020280150363030172,0.02042314604321033,0.02042314604321033,0.019467106534112016,0.01959461848285165,0.9188293056175476,0.001791577474818696,0.0,0.007309861275890265,1,0,formal_NN_training/results/LSTM/behavior_audit/logs/605.mcf_s-994B.spp_ipcp.log
620.omnetpp_s-874B,no_pref,0.2375,1.0,451398,316554,0.7012747065782303,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,formal_NN_training/results/LSTM/behavior_audit/logs/620.omnetpp_s-874B.no_pref.log
620.omnetpp_s-874B,spp,0.23869,1.0050105263157896,451389,316347,0.7008301044110512,0.000653916867264353,174696,0,174696,171086,127,74,53,34,3610,0.00042359298438430186,0.00043253100779724814,0.00043253100779724814,0.0002337673825003001,0.00023392034696077409,0.6851851851851852,0.0001946238036360306,0.0,0.00030338416449145943,1,0,formal_NN_training/results/LSTM/behavior_audit/logs/620.omnetpp_s-874B.spp.log
